"id,""token"",""submitdate"",""lastpage"",""startlanguage"",""seed"",""startdate"",""datestamp"",""ipaddr"",""193485X183X2667qi1qu1sq1"",""193485X183X2667qi1qu1sq2"",""193485X183X2670qi1qu4sq1"",""193485X183X2670qi1qu4sq2"",""193485X183X2673qi1qu7sq1"",""193485X183X2673qi1qu7sq2"",""193485X183X2676qi1qu10sq1"",""193485X183X2676qi1qu10sq2"",""193485X183X2679qi1qu13sq1"",""193485X183X2679qi1qu13sq2"",""193485X183X2682qi1qu16sq1"",""193485X183X2682qi1qu16sq2"",""193485X183X2685qi1qu19sq1"",""193485X183X2685qi1qu19sq2"",""193485X183X2688qi1qu22sq1"",""193485X183X2688qi1qu22sq2"",""193485X183X2691qi1qu25sq1"",""193485X183X2691qi1qu25sq2"",""193485X183X2694qi1qu28sq1"",""193485X183X2694qi1qu28sq2"",""193485X184X2697qi1qu31sq1"",""193485X184X2697qi1qu31sq2"",""193485X184X2697qi1qu31sq3"",""193485X184X2697qi1qu31sq4"",""193485X185X2702"",""193485X185X2703"""
"18,NULL,""2020-01-29 11:43:26"",NULL,""hr"",NULL,""2020-01-29 11:43:26"",""2020-01-29 11:43:26"",NULL,""A1"",""A2"",""A1"",""A3"",""A2"",""A4"",""A4"",""A1"",""A2"",""A4"",""A4"",""A2"",""A2"",""A1"",""A4"",""A2"",""A4"",""A1"",""A4"",""A1"",""A1"",""A2"",""A1"",""A2"",""A3"",""A2"""
"19,NULL,""2020-01-29 11:43:26"",NULL,""hr"",NULL,""2020-01-29 11:43:26"",""2020-01-29 11:43:26"",NULL,""A2"",""A4"",""A2"",""A3"",""A2"",""A1"",""A4"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A1"",""A4"",""A3"",""A2"",""A1"",""A1"",""A2"",""A3"",""A2"""
"20,NULL,""2020-01-29 11:43:26"",NULL,""hr"",NULL,""2020-01-29 11:43:26"",""2020-01-29 11:43:26"",NULL,""A3"",""A2"",""A2"",""A3"",""A3"",""A1"",""A4"",""A1"",""A1"",""A3"",""A3"",""A2"",""A3"",""A4"",""A4"",""A1"",""A1"",""A3"",""A2"",""A3"",""A1"",""A2"",""A2"",""A2"",""A2"",""A2"""
"21,NULL,""2020-01-29 11:43:27"",NULL,""hr"",NULL,""2020-01-29 11:43:27"",""2020-01-29 11:43:27"",NULL,""A1"",""A3"",""A4"",""A3"",""A2"",""A1"",""A3"",""A1"",""A3"",""A4"",""A1"",""A2"",""A2"",""A4"",""A4"",""A2"",""A2"",""A1"",""A4"",""A3"",""A2"",""A1"",""A2"",""A1"",""A1"",""A3"""
"22,NULL,""2020-01-29 11:43:27"",NULL,""hr"",NULL,""2020-01-29 11:43:27"",""2020-01-29 11:43:27"",NULL,""A1"",""A2"",""A2"",""A3"",""A2"",""A1"",""A4"",""A2"",""A1"",""A4"",""A1"",""A2"",""A2"",""A1"",""A4"",""A2"",""A2"",""A3"",""A2"",""A3"",""A2"",""A1"",""A1"",""A2"",""A2"",""A3"""
"23,NULL,""2020-01-29 11:43:27"",NULL,""hr"",NULL,""2020-01-29 11:43:27"",""2020-01-29 11:43:27"",NULL,""A1"",""A3"",""A4"",""A3"",""A2"",""A3"",""A3"",""A1"",""A2"",""A4"",""A4"",""A2"",""A2"",""A4"",""A4"",""A1"",""A2"",""A1"",""A4"",""A2"",""A2"",""A2"",""A2"",""A2"",""A3"",""A1"""
"24,NULL,""2020-01-29 11:43:28"",NULL,""hr"",NULL,""2020-01-29 11:43:28"",""2020-01-29 11:43:28"",NULL,""A3"",""A2"",""A2"",""A3"",""A4"",""A3"",""A4"",""A1"",""A3"",""A4"",""A3"",""A2"",""A3"",""A1"",""A4"",""A1"",""A2"",""A1"",""A4"",""A3"",""A1"",""A2"",""A1"",""A2"",""A1"",""A1"""
"25,NULL,""2020-01-29 11:43:28"",NULL,""hr"",NULL,""2020-01-29 11:43:28"",""2020-01-29 11:43:28"",NULL,""A2"",""A1"",""A2"",""A3"",""A2"",""A1"",""A3"",""A2"",""A1"",""A4"",""A3"",""A2"",""A2"",""A3"",""A4"",""A2"",""A4"",""A3"",""A4"",""A3"",""A2"",""A1"",""A2"",""A2"",""A1"",""A2"""
"26,NULL,""2020-01-29 11:43:29"",NULL,""hr"",NULL,""2020-01-29 11:43:29"",""2020-01-29 11:43:29"",NULL,""A1"",""A4"",""A1"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A3"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A3"",""A1"",""A3"",""A1"",""A2"",""A1"",""A2"",""A2"",""A1"""
"27,NULL,""2020-01-29 11:43:29"",NULL,""hr"",NULL,""2020-01-29 11:43:29"",""2020-01-29 11:43:29"",NULL,""A4"",""A2"",""A2"",""A3"",""A2"",""A1"",""A4"",""A2"",""A2"",""A4"",""A3"",""A2"",""A3"",""A2"",""A4"",""A2"",""A2"",""A4"",""A4"",""A3"",""A2"",""A1"",""A2"",""A1"",""A1"",""A2"""
"28,NULL,""2020-01-29 11:43:29"",NULL,""hr"",NULL,""2020-01-29 11:43:29"",""2020-01-29 11:43:29"",NULL,""A3"",""A4"",""A2"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A2"",""A2"",""A2"",""A2"",""A2"",""A3"",""A1"""
"29,NULL,""2020-01-29 11:43:30"",NULL,""hr"",NULL,""2020-01-29 11:43:30"",""2020-01-29 11:43:30"",NULL,""A1"",""A3"",""A1"",""A3"",""A3"",""A1"",""A4"",""A3"",""A3"",""A4"",""A3"",""A2"",""A3"",""A1"",""A4"",""A1"",""A2"",""A3"",""A4"",""A3"",""A1"",""A2"",""A1"",""A2"",""A2"",""A3"""
"30,NULL,""2020-01-29 11:43:30"",NULL,""hr"",NULL,""2020-01-29 11:43:30"",""2020-01-29 11:43:30"",NULL,""A3"",""A2"",""A2"",""A1"",""A2"",""A1"",""A4"",""A1"",""A3"",""A4"",""A1"",""A2"",""A3"",""A1"",""A4"",""A3"",""A4"",""A3"",""A2"",""A3"",""A2"",""A2"",""A2"",""A2"",""A2"",""A2"""
"31,NULL,""2020-01-29 11:43:31"",NULL,""hr"",NULL,""2020-01-29 11:43:31"",""2020-01-29 11:43:31"",NULL,""A1"",""A4"",""A2"",""A3"",""A2"",""A1"",""A2"",""A1"",""A2"",""A4"",""A1"",""A2"",""A2"",""A4"",""A4"",""A2"",""A1"",""A3"",""A4"",""A3"",""A2"",""A2"",""A2"",""A2"",""A1"",""A1"""
"32,NULL,""2020-01-29 11:43:31"",NULL,""hr"",NULL,""2020-01-29 11:43:31"",""2020-01-29 11:43:31"",NULL,""A4"",""A3"",""A2"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A3"",""A2"",""A2"",""A1"",""A4"",""A1"",""A2"",""A1"",""A4"",""A1"",""A1"",""A1"",""A1"",""A1"",""A1"",""A3"""
"33,NULL,""2020-01-29 11:43:32"",NULL,""hr"",NULL,""2020-01-29 11:43:32"",""2020-01-29 11:43:32"",NULL,""A4"",""A2"",""A2"",""A4"",""A2"",""A3"",""A4"",""A2"",""A2"",""A4"",""A4"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A3"",""A2"",""A1"",""A2"",""A1"",""A2"",""A1"""
"34,NULL,""2020-01-29 11:43:32"",NULL,""hr"",NULL,""2020-01-29 11:43:32"",""2020-01-29 11:43:32"",NULL,""A1"",""A3"",""A2"",""A4"",""A4"",""A3"",""A4"",""A1"",""A2"",""A4"",""A3"",""A2"",""A1"",""A4"",""A4"",""A2"",""A2"",""A1"",""A4"",""A3"",""A2"",""A2"",""A2"",""A1"",""A3"",""A3"""
"35,NULL,""2020-01-29 11:43:32"",NULL,""hr"",NULL,""2020-01-29 11:43:32"",""2020-01-29 11:43:32"",NULL,""A3"",""A2"",""A2"",""A3"",""A2"",""A1"",""A4"",""A2"",""A1"",""A4"",""A4"",""A2"",""A3"",""A1"",""A4"",""A1"",""A2"",""A3"",""A4"",""A2"",""A1"",""A2"",""A1"",""A1"",""A3"",""A1"""
"36,NULL,""2020-01-29 11:43:33"",NULL,""hr"",NULL,""2020-01-29 11:43:33"",""2020-01-29 11:43:33"",NULL,""A3"",""A1"",""A1"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A1"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A3"",""A2"",""A1"",""A2"",""A1"",""A3"",""A2"""
"37,NULL,""2020-01-29 11:43:33"",NULL,""hr"",NULL,""2020-01-29 11:43:33"",""2020-01-29 11:43:33"",NULL,""A3"",""A2"",""A2"",""A3"",""A2"",""A1"",""A3"",""A1"",""A3"",""A1"",""A1"",""A2"",""A1"",""A3"",""A4"",""A2"",""A2"",""A4"",""A2"",""A3"",""A2"",""A1"",""A1"",""A2"",""A3"",""A1"""
"38,NULL,""2020-01-29 11:43:34"",NULL,""hr"",NULL,""2020-01-29 11:43:34"",""2020-01-29 11:43:34"",NULL,""A1"",""A2"",""A1"",""A3"",""A4"",""A1"",""A4"",""A1"",""A2"",""A4"",""A1"",""A2"",""A2"",""A4"",""A4"",""A1"",""A2"",""A1"",""A4"",""A2"",""A1"",""A2"",""A1"",""A2"",""A2"",""A2"""
"39,NULL,""2020-01-29 11:43:34"",NULL,""hr"",NULL,""2020-01-29 11:43:34"",""2020-01-29 11:43:34"",NULL,""A3"",""A2"",""A2"",""A3"",""A2"",""A1"",""A4"",""A2"",""A3"",""A4"",""A4"",""A2"",""A2"",""A4"",""A4"",""A1"",""A1"",""A3"",""A2"",""A3"",""A2"",""A1"",""A2"",""A2"",""A3"",""A3"""
"40,NULL,""2020-01-29 11:43:34"",NULL,""hr"",NULL,""2020-01-29 11:43:34"",""2020-01-29 11:43:34"",NULL,""A3"",""A2"",""A1"",""A3"",""A4"",""A1"",""A3"",""A1"",""A3"",""A4"",""A4"",""A2"",""A2"",""A4"",""A4"",""A2"",""A4"",""A3"",""A1"",""A3"",""A1"",""A1"",""A1"",""A2"",""A3"",""A2"""
"41,NULL,""2020-01-29 11:43:35"",NULL,""hr"",NULL,""2020-01-29 11:43:35"",""2020-01-29 11:43:35"",NULL,""A3"",""A4"",""A1"",""A3"",""A4"",""A1"",""A4"",""A1"",""A3"",""A4"",""A4"",""A2"",""A2"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A2"",""A1"",""A1"",""A2"",""A2"",""A3"",""A2"""
"42,NULL,""2020-01-29 11:43:35"",NULL,""hr"",NULL,""2020-01-29 11:43:35"",""2020-01-29 11:43:35"",NULL,""A4"",""A3"",""A2"",""A1"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A4"",""A2"",""A2"",""A1"",""A4"",""A2"",""A2"",""A3"",""A4"",""A3"",""A1"",""A1"",""A2"",""A2"",""A2"",""A3"""
"43,NULL,""2020-01-29 11:43:36"",NULL,""hr"",NULL,""2020-01-29 11:43:36"",""2020-01-29 11:43:36"",NULL,""A2"",""A1"",""A2"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A2"",""A2"",""A3"",""A4"",""A2"",""A1"",""A2"",""A1"",""A1"",""A3"",""A3"""
"44,NULL,""2020-01-29 11:43:36"",NULL,""hr"",NULL,""2020-01-29 11:43:36"",""2020-01-29 11:43:36"",NULL,""A1"",""A3"",""A2"",""A3"",""A3"",""A1"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A3"",""A2"",""A1"",""A2"",""A3"",""A2"",""A2"",""A2"",""A1"",""A3"",""A1"""
"45,NULL,""2020-01-29 11:43:36"",NULL,""hr"",NULL,""2020-01-29 11:43:36"",""2020-01-29 11:43:36"",NULL,""A4"",""A1"",""A1"",""A4"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A3"",""A2"",""A2"",""A3"",""A4"",""A2"",""A2"",""A3"",""A3"",""A1"",""A1"",""A1"",""A2"",""A1"",""A3"",""A2"""
"46,NULL,""2020-01-29 11:43:37"",NULL,""hr"",NULL,""2020-01-29 11:43:37"",""2020-01-29 11:43:37"",NULL,""A4"",""A2"",""A2"",""A4"",""A2"",""A3"",""A3"",""A1"",""A3"",""A4"",""A1"",""A2"",""A2"",""A1"",""A4"",""A2"",""A1"",""A4"",""A2"",""A3"",""A2"",""A1"",""A1"",""A2"",""A2"",""A1"""
"47,NULL,""2020-01-29 11:43:37"",NULL,""hr"",NULL,""2020-01-29 11:43:37"",""2020-01-29 11:43:37"",NULL,""A3"",""A2"",""A2"",""A3"",""A2"",""A1"",""A4"",""A1"",""A2"",""A4"",""A1"",""A2"",""A1"",""A4"",""A4"",""A3"",""A2"",""A3"",""A4"",""A3"",""A1"",""A2"",""A2"",""A2"",""A1"",""A3"""
"48,NULL,""2020-01-29 11:43:37"",NULL,""hr"",NULL,""2020-01-29 11:43:37"",""2020-01-29 11:43:37"",NULL,""A1"",""A2"",""A2"",""A1"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A3"",""A2"",""A2"",""A1"",""A4"",""A2"",""A2"",""A3"",""A4"",""A2"",""A2"",""A2"",""A2"",""A1"",""A3"",""A3"""
"49,NULL,""2020-01-29 11:43:38"",NULL,""hr"",NULL,""2020-01-29 11:43:38"",""2020-01-29 11:43:38"",NULL,""A1"",""A3"",""A4"",""A3"",""A2"",""A4"",""A4"",""A1"",""A1"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A2"",""A2"",""A1"",""A4"",""A3"",""A1"",""A2"",""A2"",""A1"",""A3"",""A3"""
"50,NULL,""2020-01-29 11:43:38"",NULL,""hr"",NULL,""2020-01-29 11:43:38"",""2020-01-29 11:43:38"",NULL,""A1"",""A2"",""A2"",""A3"",""A2"",""A1"",""A4"",""A1"",""A2"",""A4"",""A3"",""A2"",""A2"",""A1"",""A4"",""A1"",""A1"",""A4"",""A4"",""A3"",""A2"",""A2"",""A1"",""A1"",""A1"",""A3"""
"51,NULL,""2020-01-29 11:43:39"",NULL,""hr"",NULL,""2020-01-29 11:43:39"",""2020-01-29 11:43:39"",NULL,""A1"",""A4"",""A1"",""A3"",""A4"",""A1"",""A3"",""A1"",""A1"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A4"",""A3"",""A1"",""A3"",""A2"",""A2"",""A2"",""A2"",""A1"",""A3"""
"52,NULL,""2020-01-29 11:43:39"",NULL,""hr"",NULL,""2020-01-29 11:43:39"",""2020-01-29 11:43:39"",NULL,""A1"",""A3"",""A2"",""A3"",""A2"",""A1"",""A3"",""A2"",""A1"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A3"",""A1"",""A3"",""A4"",""A3"",""A2"",""A2"",""A1"",""A1"",""A3"",""A3"""
"53,NULL,""2020-01-29 11:43:39"",NULL,""hr"",NULL,""2020-01-29 11:43:39"",""2020-01-29 11:43:39"",NULL,""A2"",""A4"",""A1"",""A3"",""A2"",""A3"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A2"",""A1"",""A2"",""A2"",""A1"",""A1"",""A3"""
"54,NULL,""2020-01-29 11:43:40"",NULL,""hr"",NULL,""2020-01-29 11:43:40"",""2020-01-29 11:43:40"",NULL,""A4"",""A3"",""A2"",""A4"",""A2"",""A1"",""A4"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A3"",""A4"",""A1"",""A4"",""A2"",""A2"",""A2"",""A2"",""A2"",""A1"",""A1"""
"55,NULL,""2020-01-29 11:43:40"",NULL,""hr"",NULL,""2020-01-29 11:43:40"",""2020-01-29 11:43:40"",NULL,""A3"",""A2"",""A2"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A1"",""A3"",""A2"",""A4"",""A4"",""A1"",""A1"",""A3"",""A4"",""A3"",""A2"",""A2"",""A2"",""A1"",""A3"",""A2"""
"56,NULL,""2020-01-29 11:43:40"",NULL,""hr"",NULL,""2020-01-29 11:43:40"",""2020-01-29 11:43:40"",NULL,""A1"",""A2"",""A2"",""A1"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A2"",""A4"",""A1"",""A2"",""A4"",""A1"",""A2"",""A2"",""A2"",""A2"",""A1"""
"57,NULL,""2020-01-29 11:43:41"",NULL,""hr"",NULL,""2020-01-29 11:43:41"",""2020-01-29 11:43:41"",NULL,""A1"",""A2"",""A1"",""A3"",""A4"",""A1"",""A3"",""A1"",""A3"",""A4"",""A1"",""A2"",""A4"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A1"",""A1"",""A1"",""A2"",""A2"",""A1"",""A1"""
"58,NULL,""2020-01-29 11:43:41"",NULL,""hr"",NULL,""2020-01-29 11:43:41"",""2020-01-29 11:43:41"",NULL,""A4"",""A2"",""A2"",""A3"",""A2"",""A3"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A2"",""A3"",""A4"",""A2"",""A2"",""A3"",""A4"",""A2"",""A2"",""A1"",""A1"",""A1"",""A2"",""A2"""
"59,NULL,""2020-01-29 11:43:42"",NULL,""hr"",NULL,""2020-01-29 11:43:42"",""2020-01-29 11:43:42"",NULL,""A1"",""A2"",""A2"",""A3"",""A4"",""A1"",""A3"",""A1"",""A3"",""A4"",""A3"",""A2"",""A2"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A3"",""A2"",""A2"",""A2"",""A2"",""A1"",""A1"""
"60,NULL,""2020-01-29 11:43:42"",NULL,""hr"",NULL,""2020-01-29 11:43:42"",""2020-01-29 11:43:42"",NULL,""A2"",""A4"",""A1"",""A3"",""A4"",""A1"",""A3"",""A1"",""A1"",""A4"",""A1"",""A2"",""A3"",""A1"",""A4"",""A3"",""A1"",""A4"",""A2"",""A3"",""A2"",""A2"",""A2"",""A2"",""A3"",""A1"""
"61,NULL,""2020-01-29 11:43:42"",NULL,""hr"",NULL,""2020-01-29 11:43:42"",""2020-01-29 11:43:42"",NULL,""A1"",""A3"",""A2"",""A3"",""A1"",""A4"",""A3"",""A1"",""A3"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A1"",""A3"",""A4"",""A3"",""A2"",""A2"",""A2"",""A2"",""A1"",""A3"""
"62,NULL,""2020-01-29 11:43:43"",NULL,""hr"",NULL,""2020-01-29 11:43:43"",""2020-01-29 11:43:43"",NULL,""A1"",""A3"",""A1"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A4"",""A2"",""A2"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A3"",""A2"",""A1"",""A1"",""A1"",""A3"",""A1"""
"63,NULL,""2020-01-29 11:43:43"",NULL,""hr"",NULL,""2020-01-29 11:43:43"",""2020-01-29 11:43:43"",NULL,""A3"",""A1"",""A2"",""A3"",""A2"",""A1"",""A2"",""A1"",""A3"",""A4"",""A1"",""A2"",""A3"",""A1"",""A4"",""A1"",""A2"",""A1"",""A4"",""A3"",""A2"",""A2"",""A1"",""A1"",""A3"",""A2"""
"64,NULL,""2020-01-29 11:43:43"",NULL,""hr"",NULL,""2020-01-29 11:43:43"",""2020-01-29 11:43:43"",NULL,""A1"",""A2"",""A1"",""A3"",""A2"",""A1"",""A4"",""A2"",""A3"",""A4"",""A2"",""A4"",""A2"",""A4"",""A4"",""A2"",""A2"",""A3"",""A4"",""A3"",""A1"",""A1"",""A2"",""A1"",""A3"",""A2"""
"65,NULL,""2020-01-29 11:43:44"",NULL,""hr"",NULL,""2020-01-29 11:43:44"",""2020-01-29 11:43:44"",NULL,""A4"",""A2"",""A2"",""A4"",""A3"",""A1"",""A4"",""A2"",""A2"",""A4"",""A1"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A1"",""A4"",""A3"",""A2"",""A1"",""A2"",""A1"",""A3"",""A2"""
"66,NULL,""2020-01-29 11:43:44"",NULL,""hr"",NULL,""2020-01-29 11:43:44"",""2020-01-29 11:43:44"",NULL,""A1"",""A4"",""A2"",""A3"",""A4"",""A1"",""A3"",""A1"",""A2"",""A4"",""A1"",""A2"",""A2"",""A1"",""A4"",""A1"",""A2"",""A3"",""A3"",""A2"",""A1"",""A1"",""A2"",""A2"",""A3"",""A2"""
"67,NULL,""2020-01-29 11:43:44"",NULL,""hr"",NULL,""2020-01-29 11:43:44"",""2020-01-29 11:43:44"",NULL,""A4"",""A3"",""A2"",""A3"",""A2"",""A1"",""A3"",""A1"",""A2"",""A4"",""A3"",""A2"",""A3"",""A4"",""A4"",""A1"",""A4"",""A3"",""A1"",""A3"",""A1"",""A2"",""A2"",""A2"",""A1"",""A2"""
"68,NULL,""2020-01-29 11:43:45"",NULL,""hr"",NULL,""2020-01-29 11:43:45"",""2020-01-29 11:43:45"",NULL,""A1"",""A2"",""A1"",""A4"",""A2"",""A3"",""A3"",""A1"",""A2"",""A4"",""A3"",""A4"",""A3"",""A1"",""A4"",""A2"",""A4"",""A3"",""A1"",""A3"",""A2"",""A2"",""A2"",""A2"",""A1"",""A1"""
"69,NULL,""2020-01-29 11:43:45"",NULL,""hr"",NULL,""2020-01-29 11:43:45"",""2020-01-29 11:43:45"",NULL,""A1"",""A3"",""A1"",""A4"",""A2"",""A1"",""A3"",""A2"",""A2"",""A4"",""A1"",""A4"",""A3"",""A4"",""A4"",""A1"",""A2"",""A3"",""A4"",""A3"",""A2"",""A2"",""A2"",""A2"",""A1"",""A3"""
"70,NULL,""2020-01-29 11:43:45"",NULL,""hr"",NULL,""2020-01-29 11:43:45"",""2020-01-29 11:43:45"",NULL,""A3"",""A2"",""A2"",""A3"",""A3"",""A1"",""A4"",""A1"",""A2"",""A4"",""A3"",""A2"",""A2"",""A4"",""A4"",""A2"",""A3"",""A4"",""A1"",""A3"",""A2"",""A2"",""A2"",""A2"",""A3"",""A3"""
"71,NULL,""2020-01-29 11:43:46"",NULL,""hr"",NULL,""2020-01-29 11:43:46"",""2020-01-29 11:43:46"",NULL,""A1"",""A3"",""A2"",""A4"",""A4"",""A1"",""A3"",""A1"",""A3"",""A2"",""A4"",""A2"",""A3"",""A4"",""A4"",""A1"",""A2"",""A1"",""A4"",""A2"",""A1"",""A1"",""A2"",""A2"",""A1"",""A1"""
